map_no,reward,alpha,round,steps,goal_num,goal_rate,entropy,entropy_n
0,2,0.1,4,326,3,0.75,1.8644260317298809,0.7503002303482685
0,2,0.1,1,13,1,1.0,1.559581156259877,0.6276216277150422
0,2,0.1,4,422,3,0.75,2.198891923658952,0.8848992069165055
0,2,0.1,5,559,2,0.4,1.8863397941598588,0.7591189770934823
0,2,0.1,1,18,1,1.0,1.5047882836811908,0.6055713536802566
0,2,0.1,2,79,2,1.0,1.7917594692280547,0.72105705434887
0,2,0.1,4,345,4,1.0,1.9531479153503701,0.786004542873674
0,2,0.1,2,168,1,0.5,1.3208883431493221,0.531564573366172
0,2,0.1,2,145,2,1.0,1.3296613488547582,0.5350950905814503
0,2,0.1,4,357,3,0.75,1.5607104090414068,0.6280760724651603
0,2,0.1,1,15,1,1.0,1.4941751382893085,0.6013003097789544
0,2,0.1,2,44,2,1.0,1.5498260458782016,0.6236958825034433
0,2,0.1,2,186,1,0.5,1.5607104090414068,0.6280760724651603
0,2,0.1,2,175,1,0.5,1.6726254461503207,0.67311399657328
0,2,0.1,2,183,1,0.5,1.7480673485460896,0.703474051508223
0,2,0.1,3,126,3,1.0,1.400326576231188,0.5635328700781
0,2,0.1,2,182,1,0.5,1.9061547465398496,0.7670931005406071
0,2,0.1,2,72,2,1.0,1.3321790402101223,0.5361082841175451
0,2,0.1,1,19,1,1.0,1.8866967846580782,0.7592626406384488
0,2,0.1,5,352,5,1.0,1.4241299173467734,0.5731120392262111
0,2,0.1,5,417,4,0.8,1.9813325147239833,0.797346860049258
0,2,0.1,5,513,4,0.8,1.7480673485460894,0.703474051508223
0,2,0.1,8,880,7,0.875,1.8971121361545495,0.7634540864206716
0,2,0.1,5,220,5,1.0,1.8866967846580784,0.7592626406384488
0,2,0.1,7,525,6,0.8571428571428571,1.887592037924735,0.7596229170563711
0,2,0.1,4,377,2,0.5,1.7328679513998633,0.6973573641278246
0,2,0.1,4,513,1,0.25,1.9361993456845221,0.7791839366882087
0,2,0.1,3,146,3,1.0,1.4941751382893085,0.6013003097789544
0,2,0.1,2,142,2,1.0,1.5110861760736112,0.6081058120241778
0,2,0.1,5,484,3,0.6,1.9124482253186912,0.7696257827157618
0,2,0.1,4,312,4,1.0,1.7917594692280547,0.72105705434887
0,2,0.1,2,47,2,1.0,1.3321790402101223,0.5361082841175451
0,2,0.1,4,499,1,0.25,1.7214023220140038,0.6927432554300843
0,2,0.1,2,63,2,1.0,1.559581156259877,0.6276216277150422
0,2,0.1,1,23,1,1.0,1.818483163012365,0.7318114598661116
0,2,0.1,4,164,4,1.0,1.7478680974667573,0.7033938669751947
0,2,0.1,1,35,1,1.0,1.6170531525095537,0.6507500604288344
0,2,0.1,1,32,1,1.0,1.6326309271543522,0.6570190181162903
