map_no,reward,alpha,round,steps,goal_num,goal_rate,entropy,entropy_n,path
0,12,0.6000000000000001,11,614,11,1.0,1.7478680974667573,0.7954890526419314,True1:4:1:4:1:4:7:4:1:4:7:4:1:4:5:4:7:4:7:4:5:4:5:2:3:2:3:2:3:2:5:2:5:4:1:4:7:4:5:2:3:2:5:6:5:6:5:6:5:8:9 True1:4:7:4:5:8:5:6:5:4:1:4:1:4:1:4:1:4:1:4:1:4:5:4:1:4:5:8:5:8:9 True1:4:5:2:3:2:3:2:3:2:3:2:5:6:5:8:5:4:7:4:1:4:5:4:1:4:1:4:7:4:5:2:3:2:5:4:5:4:5:8:5:6:5:8:9 True1:4:5:8:5:8:9:8 True1:4:5:4:7:4:7:4:7:4:1:4:5:8:5:2:5:8:9 True1:4:7:4:5:4:1:4:7:4:7:4:1:4:1:4:7:4:5:6:5:4:5:6:5:6:5:8:9:8 True1:4:5:2:3:2:3:2:5:2:5:8:5:4:1:4:1:4:5:4:1:4:5:4:1:4:7:4:5:4:7:4:5:6:5:8:9 True1:4:1:4:7:4:1:4:5:4:5:8:5:4:5:2:5:8:9 True1:4:5:4:5:6:5:8:5:8:5:4:7:4:5:4:1:4:5:6:5:8:9 True1:4:7:4:5:4:1:4:1:4:7:4:7:4:7:4:1:4:5:8:5:8:5:4:5:6:5:4:5:6:5:8:9 True1:4:7:4:5:8:9 
0,12,0.6000000000000001,23,1069,22,0.9565217391304348,1.7478680974667573,0.7954890526419314,False1:4:7:4:7:4:5:8:5:2:3:2:5:8:5:4:5:8:5:2:3:2:5:4:7:4:7:4:5:8:5:4:1:4:7:4:5:4:1:4:5:6:5:6:5:2:5:4:1:4:1:4:5:6:5:8:5:6:5:6:5:6:5:2:3:2:3:2:3:2:5:4:7:4:1 True1:4:5:4:1:4:5:4:7:4:5:2:5:2:3:2:5:8:5:8:9:8 True1:4:5:6:5:2:5:4:7:4:5:4:5:8:9 True1:4:7:4:1:4:1:4:1:4:5:2:5:2:3:2:5:8:5:8:9:8 True1:4:5:8:5:8:9 True1:4:5:2:3:2:5:8:5:6:5:8:9:8 True1:4:1:4:7:4:5:4:1:4:1:4:1:4:1:4:7:4:5:2:3:2:5:2:3:2:5:8:9 True1:4:1:4:1:4:5:8:5:4:1:4:7:4:5:8:9 True1:4:1:4:5:2:5:8:9 True1:4:1:4:1:4:5:6:5:2:3:2:5:6:5:4:5:4:7:4:5:8:9 True1:4:7:4:7:4:5:4:7:4:7:4:1:4:7:4:7:4:5:6:5:8:5:6:5:2:5:2:3:2:3:2:5:8:9 True1:4:1:4:7:4:7:4:1:4:5:4:1:4:7:4:1:4:1:4:5:8:9:8 True1:4:5:8:5:4:5:8:5:2:3:2:5:8:9 True1:4:1:4:1:4:5:4:7:4:5:6:5:8:9:8 True1:4:7:4:5:4:5:4:7:4:1:4:7:4:7:4:7:4:5:2:3:2:5:4:5:4:7:4:7:4:1:4:5:8:9 True1:4:5:4:7:4:7:4:7:4:5:8:5:2:5:2:5:2:5:4:5:8:9 True1:4:7:4:7:4:7:4:1:4:5:8:9 True1:4:5:6:5:4:5:4:5:2:5:4:5:8:9:8 True1:4:1:4:7:4:7:4:5:6:5:4:1:4:5:4:1:4:5:6:5:8:9 True1:4:1:4:7:4:5:6:5:6:5:4:7:4:5:4:5:2:5:4:7:4:5:6:5:8:9 True1:4:5:4:7:4:5:8:9 True1:4:5:4:5:8:5:2:3:2:3:2:5:6:5:4:5:4:7:4:5:4:5:6:5:8:9 True1:4:5:6:5:8:9 
0,12,0.6000000000000001,8,400,8,1.0,1.5607104090414063,0.7103099178571524,True1:4:5:6:5:4:5:4:1:4:7:4:5:6:5:8:5:8:5:2:5:2:5:4:7:4:1:4:7:4:1:4:7:4:7:4:5:2:3:2:3:2:5:4:1:4:7:4:7:4:7:4:5:2:3:2:3:2:5:2:5:6:5:8:9 True1:4:7:4:1:4:1:4:7:4:5:4:5:8:5:4:5:8:5:2:3:2:5:2:5:6:5:8:9 True1:4:7:4:1:4:5:2:3:2:5:2:5:6:5:4:5:2:5:8:9 True1:4:1:4:5:2:3:2:5:8:9 True1:4:7:4:7:4:5:2:5:8:9 True1:4:7:4:5:6:5:8:5:6:5:8:5:2:3:2:5:2:3:2:5:2:5:8:9 True1:4:1:4:7:4:7:4:5:2:3:2:5:4:1:4:1:4:5:2:3:2:3:2:5:6:5:2:5:6:5:8:9 True1:4:5:8:9:8 
0,12,0.6000000000000001,15,760,14,0.9333333333333333,1.5607104090414063,0.7103099178571524,True1:4:5:2:5:4:7:4:7:4:1:4:1:4:1:4:5:2:5:4:1:4:5:2:5:4:5:8:5:6:5:6:5:2:3:2:5:8:9 True1:4:7:4:5:8:9 True1:4:5:6:5:6:5:8:9:8 True1:4:7:4:5:8:5:6:5:2:5:8:5:4:7:4:5:6:5:4:5:2:3:2:5:2:5:6:5:8:5:2:5:8:5:4:1:4:5:2:3:2:3:2:3:2:5:8:5:8:9 True1:4:1:4:7:4:7:4:5:8:5:6:5:8:9:8 True1:4:7:4:5:4:5:6:5:6:5:2:3:2:3:2:5:6:5:8:5:2:5:4:5:4:1:4:1:4:7:4:5:4:1:4:5:2:5:2:3:2:5:8:9:8 True1:4:1:4:7:4:5:2:3:2:5:8:9 True1:4:7:4:1:4:1:4:7:4:5:8:9 True1:4:1:4:5:8:5:8:9:8 True1:4:5:4:1:4:7:4:7:4:7:4:7:4:1:4:5:2:5:8:9:8 False1:4:5:6:5:4:5:6:5:4:7:4:7:4:7:4:5:4:7:4:7:4:7:4:7:4:7:4:7:4:7:4:7:4:7:4:7:4:1:4:1:4:7:4:7:4:7:4:7:4:7:4:5:2:3:2 True1:4:5:4:7:4:5:6:5:4:5:4:1:4:7:4:7:4:7:4:5:6:5:4:5:8:5:8:5:8:9 True1:4:7:4:7:4:1:4:7:4:1:4:5:4:5:6:5:2:5:6:5:4:7:4:5:4:5:8:9 True1:4:7:4:5:2:3:2:5:8:9:8 True1:4:5:8:9:8 
0,12,0.6000000000000001,10,588,8,0.8,1.6094379124341005,0.7324867603589635,True1:4:5:8:9 False1:4:7:4:7:4:1:4:1:4:1:4:7:4:5:4:7:4:7:4:5:2:5:2:3:2:3:2:3:2:5:2:3:2:3:2:3:2:3:2:5:8:5:6:5:4:5:4:5:4:7:4:7:4:7:4:1:4:1:4:7:4:7:4:5:6 True1:4:5:2:3:2:5:2:3:2:5:8:5:8:9:8 True1:4:7:4:5:6:5:6:5:6:5:8:9:8 True1:4:7:4:1:4:5:2:3:2:5:8:5:8:5:2:5:2:3:2:3:2:5:8:5:4:1:4:7:4:5:6:5:8:5:8:9 False1:4:5:2:5:4:5:2:5:2:3:2:3:2:3:2:3:2:5:4:7:4:7:4:7:4:1:4:1:4:5:6:5:4:5:2:3:2:3:2:3:2:5:4:7:4:7:4:7:4:1:4:1:4:1:4:1:4:1:4:5:4:7:4:7:4:1:4:5:8:5:6:5:6:5:8:5:8:5:6:5:4:5:6:5:4:7 True1:4:7:4:5:8:5:8:9 True1:4:1:4:5:6:5:2:5:2:3:2:3:2:5:4:5:4:1:4:1:4:1:4:7:4:7:4:5:8:9 True1:4:5:4:7:4:7:4:7:4:5:6:5:6:5:2:3:2:5:8:9 True1:4:5:8:9 
0,12,0.6000000000000001,11,480,11,1.0,1.6094379124341005,0.7324867603589635,True1:4:5:8:9 True1:4:7:4:1:4:5:4:5:2:5:8:5:2:3:2:5:6:5:2:3:2:5:4:1:4:7:4:7:4:7:4:5:6:5:8:9:8 True1:4:1:4:1:4:5:6:5:8:5:2:5:6:5:8:5:2:5:2:3:2:5:8:9:8 True1:4:7:4:1:4:5:8:9:8 True1:4:1:4:1:4:7:4:5:8:5:8:9:8 True1:4:5:6:5:2:5:6:5:6:5:2:5:6:5:6:5:6:5:8:9 True1:4:1:4:7:4:1:4:1:4:5:8:9 True1:4:7:4:7:4:5:4:7:4:5:6:5:6:5:2:5:8:5:8:9 True1:4:5:2:3:2:3:2:5:6:5:6:5:6:5:4:5:2:5:4:5:8:5:6:5:8:9 True1:4:1:4:7:4:1:4:7:4:5:6:5:2:3:2:5:2:3:2:5:2:3:2:5:6:5:4:7:4:1:4:1:4:1:4:5:6:5:8:9 True1:4:5:8:9 
0,12,0.6000000000000001,6,368,6,1.0,1.5607104090414063,0.7103099178571524,True1:4:5:2:3:2:3:2:3:2:3:2:5:2:5:6:5:6:5:6:5:2:5:2:5:2:3:2:3:2:3:2:5:8:9 True1:4:1:4:1:4:7:4:5:2:3:2:5:8:9 True1:4:7:4:5:2:3:2:3:2:5:4:1:4:1:4:7:4:1:4:1:4:1:4:1:4:1:4:7:4:1:4:1:4:1:4:5:4:7:4:1:4:5:2:5:4:1:4:7:4:7:4:7:4:7:4:5:8:5:4:5:8:9 True1:4:1:4:7:4:1:4:7:4:7:4:5:6:5:6:5:4:5:2:3:2:3:2:5:8:9 True1:4:7:4:1:4:5:4:7:4:5:2:3:2:3:2:5:6:5:4:7:4:7:4:7:4:5:8:5:8:9 True1:4:5:8:9:8 
0,12,0.6000000000000001,15,503,15,1.0,1.7328679513998633,0.7886621919643217,True1:4:7:4:5:6:5:8:9:8 True1:4:7:4:7:4:7:4:7:4:7:4:5:4:5:2:5:8:5:2:3:2:5:8:9 True1:4:7:4:1:4:1:4:5:4:1:4:7:4:5:6:5:4:1:4:7:4:5:8:9 True1:4:5:2:3:2:3:2:5:6:5:6:5:8:9 True1:4:1:4:1:4:5:2:5:6:5:8:9:8 True1:4:1:4:7:4:1:4:5:2:3:2:3:2:3:2:5:8:5:2:5:8:9:8 True1:4:1:4:5:4:7:4:7:4:5:8:5:8:9 True1:4:5:2:3:2:3:2:5:2:3:2:5:4:5:2:3:2:5:8:5:4:1:4:7:4:5:2:3:2:3:2:5:4:7:4:7:4:5:8:9 True1:4:5:2:5:2:3:2:5:6:5:6:5:8:9 True1:4:7:4:5:2:5:6:5:8:9:8 True1:4:7:4:5:8:9 True1:4:5:4:5:6:5:4:1:4:1:4:5:6:5:4:5:8:9 True1:4:7:4:1:4:1:4:7:4:7:4:5:8:5:2:5:6:5:8:9:8 True1:4:7:4:7:4:5:4:1:4:7:4:1:4:5:6:5:2:3:2:5:8:9 True1:4:7:4:5:8:9:8 
0,12,0.6000000000000001,9,563,8,0.8888888888888888,1.6052071074554588,0.7305612380330797,True1:4:5:4:7:4:5:6:5:2:5:6:5:8:5:4:7:4:5:4:1:4:1:4:1:4:1:4:5:4:7:4:5:6:5:4:7:4:1:4:7:4:1:4:5:2:3:2:3:2:5:8:5:4:5:6:5:8:9 True1:4:7:4:1:4:5:8:9 True1:4:5:6:5:8:9 True1:4:5:2:5:4:5:6:5:4:7:4:7:4:1:4:1:4:5:6:5:8:9 True1:4:1:4:7:4:5:4:5:8:5:2:5:8:9:8 False1:4:1:4:7:4:1:4:7:4:1:4:1:4:7:4:5:4:1:4:7:4:1:4:5:6:5:2:5:6:5:2:5:4:5:4:7:4:1:4:7:4:1:4:1:4:7:4:1:4:1:4:7:4:7:4:7:4:7:4:1:4:1:4:1:4:7 True1:4:5:6:5:6:5:2:5:6:5:2:3:2:3:2:3:2:3:2:5:8:9 True1:4:1:4:1:4:5:4:1:4:5:6:5:6:5:6:5:4:1:4:7:4:5:4:1:4:7:4:7:4:7:4:5:2:3:2:5:6:5:8:9 True1:4:5:4:7:4:5:4:5:8:5:8:9 
0,12,0.6000000000000001,12,602,12,1.0,1.5607104090414063,0.7103099178571524,True1:4:7:4:1:4:5:2:3:2:3:2:5:4:5:4:5:6:5:2:5:2:3:2:5:8:9:8 True1:4:1:4:5:4:1:4:1:4:1:4:1:4:1:4:5:4:5:4:1:4:1:4:7:4:1:4:1:4:7:4:5:4:7:4:1:4:1:4:5:8:9 True1:4:7:4:7:4:7:4:7:4:5:8:9:8 True1:4:5:6:5:6:5:8:5:8:9 True1:4:1:4:7:4:7:4:7:4:1:4:7:4:7:4:5:8:5:6:5:4:7:4:1:4:5:4:5:8:9 True1:4:5:6:5:8:5:8:5:8:5:6:5:8:5:4:1:4:1:4:7:4:1:4:7:4:5:4:1:4:5:6:5:4:1:4:7:4:5:2:5:2:5:8:5:2:5:8:5:8:5:8:5:8:5:4:1:4:5:8:9 True1:4:5:2:5:4:5:6:5:4:7:4:7:4:5:8:9:8 True1:4:5:4:5:2:5:8:5:2:5:8:9 True1:4:5:2:3:2:3:2:5:2:3:2:5:8:5:6:5:2:3:2:3:2:5:8:9 True1:4:7:4:1:4:1:4:5:8:9:8 True1:4:7:4:5:2:5:8:5:6:5:8:5:8:9:8 True1:4:5:8:9:8 
