map_no,reward,round,skill,goal_time,goal_rate,entropy,entropy_n,achivenmt_time,giveup_time,probability,path
0,2,2,158,1,0.5,1.7869811627980117,0.8132901758109943,170.83,350.83000000000004,0.1792452830188679:0.07547169811320754:0.018867924528301886:0.330188679245283:0.22641509433962265:0.03773584905660377:0.07547169811320754:0.04716981132075472:0.009433962264150943,"['True1:4:1:4:5:8:5:2:5:6:5:4:1:4:1:4:5:2:5:6:5:4:7:4:1:4:7:4:5:2:5:4:1:4:1:4:5:8:5:6:5:2:5:4:1:4:5:8:9 ', 'False1:4:5:2:3:2:5:4:7:4:1:4:7:4:5:8:5:2:3:2:5:4:1:4:7:4:1:4:7:4:1:4:1:4:5:8:5:4:7:4:1:4:5:4:7:4:1:4:1:4:1:4:1:4:5:6:5 ']"
0,2,2,94,2,1.0,1.7597180148174711,0.8008821824443841,82.043,164.086,0.16666666666666666:0.041666666666666664:0.0:0.3125:0.2708333333333333:0.0625:0.041666666666666664:0.0625:0.041666666666666664,"['True1:4:5:6:5:8:5:4:7:4:1:4:5:4:1:4:5:6:5:2:5:4:1:4:5:8:9 ', 'True1:4:5:4:1:4:1:4:7:4:5:6:5:2:5:4:1:4:5:8:9 ']"
0,2,3,55,3,1.0,1.6805178143813844,0.7648366178475672,37.04966666666667,111.149,0.2571428571428571:0.02857142857142857:0.0:0.34285714285714286:0.14285714285714285:0.0:0.05714285714285714:0.08571428571428572:0.08571428571428572,"['True1:4:1:4:1:4:1:4:7:4:1:4:1:4:7:4:5:4:1:4:5:8:9 ', 'True1:4:5:8:9 ', 'True1:4:5:2:5:8:9 ']"
0,2,3,108,2,0.6666666666666666,1.87923123910705,0.8552749948688972,27.485,234.97000000000003,0.19696969696969696:0.09090909090909091:0.030303030303030304:0.2878787878787879:0.21212121212121213:0.030303030303030304:0.045454545454545456:0.07575757575757576:0.030303030303030304,"['False1:4:1:4:1:4:7:4:5:8:5:6:5:4:1:4:1:4:5:6:5:8:5:4:1:4:1:4:5:2:5:8:5:4:7:4:1:4:5:2:3:2 ', 'True1:4:1:4:7:4:1:4:5:2:5:8:9 ', 'True1:4:1:4:5:2:3:2:5:8:9 ']"
0,2,3,50,3,1.0,1.9154102438258456,0.8717407695065797,25.625333333333334,76.876,0.12903225806451613:0.03225806451612903:0.0:0.25806451612903225:0.22580645161290322:0.06451612903225806:0.0967741935483871:0.0967741935483871:0.0967741935483871,"['True1:4:7:4:5:8:9 ', 'True1:4:7:4:5:6:5:2:5:8:9 ', 'True1:4:5:6:5:4:7:4:1:4:5:8:9 ']"
0,2,2,144,1,0.5,1.854827975894707,0.8441685911521101,136.885,316.885,0.17391304347826086:0.09782608695652174:0.03260869565217391:0.30434782608695654:0.21739130434782608:0.043478260869565216:0.07608695652173914:0.043478260869565216:0.010869565217391304,"['False1:4:1:4:5:2:5:4:1:4:5:8:5:6:5:4:1:4:7:4:1:4:5:6:5:2:5:4:7:4:1:4:1:4:5:2:3:2:5:8:5:4:7:4:1:4:1:4:7:4:1 ', 'True1:4:7:4:1:4:7:4:5:2:5:6:5:8:5:4:1:4:1:4:7:4:1:4:5:6:5:2:3:2:5:4:1:4:5:2:3:2:5:8:9 ']"
0,2,4,135,4,1.0,1.9057340454794374,0.8673369418568185,81.71324999999999,326.85299999999995,0.1836734693877551:0.07142857142857142:0.02040816326530612:0.29591836734693877:0.20408163265306123:0.05102040816326531:0.07142857142857142:0.061224489795918366:0.04081632653061224,"['True1:4:1:4:1:4:5:2:5:8:5:6:5:4:7:4:1:4:5:6:5:4:7:4:1:4:1:4:1:4:7:4:5:6:5:2:5:4:1:4:1:4:5:6:5:2:5:8:9 ', 'True1:4:7:4:1:4:7:4:1:4:5:6:5:8:5:4:1:4:1:4:7:4:5:2:3:2:5:8:9 ', 'True1:4:1:4:5:8:9 ', 'True1:4:7:4:1:4:5:2:3:2:5:8:9 ']"
0,2,2,116,1,0.5,1.6531433361396681,0.7523779558955407,104.433,284.433,0.19230769230769232:0.02564102564102564:0.0:0.3717948717948718:0.21794871794871795:0.0641025641025641:0.08974358974358974:0.02564102564102564:0.01282051282051282,"['True1:4:7:4:1:4:5:6:5:4:1:4:5:6:5:4:1:4:1:4:7:4:1:4:1:4:5:8:9 ', 'False1:4:5:6:5:4:7:4:1:4:5:4:7:4:1:4:5:2:5:6:5:8:5:4:7:4:1:4:1:4:5:2:5:6:5:4:1:4:7:4:1:4:7:4:5:4:1:4:5 ']"
0,2,4,210,3,0.75,1.8468037179761743,0.8405165939911003,115.75933333333334,527.278,0.16049382716049382:0.06790123456790123:0.018518518518518517:0.2839506172839506:0.2654320987654321:0.06172839506172839:0.04938271604938271:0.07407407407407407:0.018518518518518517,"['False1:4:1:4:1:4:5:8:5:2:5:4:1:4:5:2:5:8:5:6:5:4:1:4:5:6:5:2:5:8:5:4:1:4:1:4:7:4:5:8:5:6:5:4:1 ', 'True1:4:5:4:1:4:1:4:7:4:5:2:5:8:5:4:1:4:1:4:7:4:1:4:7:4:5:6:5:2:3:2:5:8:9 ', 'True1:4:7:4:1:4:5:4:7:4:1:4:5:6:5:8:5:2:5:4:7:4:1:4:5:8:5:6:5:4:1:4:5:6:5:8:5:2:3:2:5:4:1:4:5:4:1:4:1:4:5:6:5:8:9 ', 'True1:4:5:6:5:8:5:2:3:2:5:4:1:4:1:4:5:4:7:4:1:4:5:6:5:8:9 ']"
0,2,4,151,3,0.75,1.9483569987831164,0.8867354838826649,40.846000000000004,302.538,0.16483516483516483:0.0989010989010989:0.04395604395604396:0.2857142857142857:0.1978021978021978:0.04395604395604396:0.07692307692307693:0.054945054945054944:0.03296703296703297,"['True1:4:1:4:5:2:3:2:5:8:9 ', 'True1:4:1:4:1:4:7:4:5:6:5:8:9 ', 'False1:4:7:4:5:6:5:4:1:4:7:4:1:4:1:4:5:8:5:6:5:2:5:4:7:4:1:4:5:8:5:2:3:2:5:4:7:4:1:4:7:4:1:4:1:4:5:6:5:2:3:2 ', 'True1:4:7:4:5:2:3:2:5:4:1:4:5:8:9 ']"
