map_no,reward,round,skill,goal_time,goal_rate,entropy,entropy_n,achivenmt_time,giveup_time
0,15,10,370,5,0.5,2.356973163,0.774168432,89.2426,1346.213
0,15,7,333,3,0.428571429,2.385914063,0.783674324,130.552,1111.656
0,15,3,149,2,0.666666667,2.389703787,0.784919092,74.845,329.69
0,15,6,288,0,0,2.301919149,0.75608546,0,1080
0,15,5,137,5,1,2.295221064,0.753885416,71.1468,355.734
0,15,5,190,0,0,1.897588742,0.623279605,0,900
0,15,7,301,2,0.285714286,2.338181287,0.767996077,84.779,1069.558
0,15,9,283,5,0.555555556,2.362535223,0.77599534,74.8122,1094.061
0,15,6,272,0,0,2.273259263,0.746671871,0,1080
0,15,8,314,0,0,2.19317765,0.720368365,0,1440
