map_no,reward,round,skill,goal_time,goal_rate,entropy,entropy_n,achivenmt_time,giveup_time
0,15,27,856,9,0.333333333,2.235844862,0.734382783,55.03777778,3600
0,15,46,879,35,0.760869565,2.580946523,0.84773444,51.06197143,3600
0,15,29,911,14,0.482758621,2.257846013,0.741609254,69.9635,3600
0,15,37,1264,26,0.702702703,2.49669965,0.820062818,68.66057692,3600
0,15,29,926,15,0.517241379,2.234775169,0.734031433,75.25213333,3600
0,15,30,1146,17,0.566666667,2.299187649,0.755188275,65.99682353,3461.946
0,15,45,1073,32,0.711111111,2.284819807,0.750469032,43.30059375,3600
0,15,43,1002,32,0.744186047,2.387907271,0.78432901,53.60534375,3600
0,15,23,1115,6,0.260869565,2.183611866,0.717226399,99.79816667,3600
0,15,29,938,15,0.517241379,2.351766378,0.772458218,79.9078,3600
